generation	population_size	num_mutations	nucleotide_diversity	theta_watterson	beneficial_freq
298	10000	2	3.4e-05	0.000204	0.0
299	10000	2	3.6e-05	0.000204	0.0
300	10000	1	3.8e-05	0.000102	0.0
301	10000	1	3.7e-05	0.000102	0.0
302	10000	1	3.7e-05	0.000102	0.0
303	10000	1	3.6e-05	0.000102	0.0
304	10000	1	3.3e-05	0.000102	0.0
305	10000	1	3.2e-05	0.000102	0.0
306	10000	1	3.1e-05	0.000102	0.0
307	10000	1	2.7e-05	0.000102	0.0
308	10000	1	2.9e-05	0.000102	0.0
309	10000	1	2.8e-05	0.000102	0.0
310	10000	1	2.5e-05	0.000102	0.0
311	10000	1	2.6e-05	0.000102	0.0
312	10000	1	2.6e-05	0.000102	0.0
313	10000	1	2.6e-05	0.000102	0.0
314	10000	1	2.4e-05	0.000102	0.0
315	10000	1	2.3e-05	0.000102	0.0
316	10000	1	2.3e-05	0.000102	0.0
317	10000	2	2.4e-05	0.000204	0.0
318	10000	1	2.6e-05	0.000102	0.0
319	10000	1	2.4e-05	0.000102	0.0
320	10000	1	2.7e-05	0.000102	0.0
321	10000	1	2.6e-05	0.000102	0.0
322	10000	1	2.6e-05	0.000102	0.0
323	10000	1	2.5e-05	0.000102	0.0
324	10000	1	2.3e-05	0.000102	0.0
325	10000	2	2.2e-05	0.000204	0.0
326	10000	2	2.1e-05	0.000204	0.0
327	10000	1	2.3e-05	0.000102	0.0
328	10000	1	2.3e-05	0.000102	0.0
329	10000	1	2.2e-05	0.000102	0.0
330	10000	1	2e-05	0.000102	0.0
331	10000	1	1.7e-05	0.000102	0.0
332	10000	1	1.6e-05	0.000102	0.0
333	10000	1	1.5e-05	0.000102	0.0
334	10000	1	1.5e-05	0.000102	0.0
335	10000	1	1.5e-05	0.000102	0.0
336	10000	1	1.6e-05	0.000102	0.0
337	10000	1	1.7e-05	0.000102	0.0
338	10000	1	1.5e-05	0.000102	0.0
339	10000	1	1.6e-05	0.000102	0.0
340	10000	1	1.5e-05	0.000102	0.0
341	10000	1	1.4e-05	0.000102	0.0
342	10000	1	1.6e-05	0.000102	0.0
343	10000	1	1.5e-05	0.000102	0.0
344	10000	1	1.2e-05	0.000102	0.0
345	10000	1	1.4e-05	0.000102	0.0
346	10000	1	1.3e-05	0.000102	0.0
347	10000	1	1.5e-05	0.000102	0.0
348	10000	1	1.5e-05	0.000102	0.0
349	10000	1	1.3e-05	0.000102	0.0
350	10000	1	1.6e-05	0.000102	0.0
351	10000	1	2e-05	0.000102	0.0
352	10000	2	2e-05	0.000204	0.0
353	10000	1	2e-05	0.000102	0.0
354	10000	1	2.1e-05	0.000102	0.0
355	10000	2	1.7e-05	0.000204	0.0
356	10000	2	1.8e-05	0.000204	0.0
357	10000	2	2e-05	0.000204	0.0
358	10000	2	2.1e-05	0.000204	0.0
359	10000	1	1.7e-05	0.000102	0.0
360	10000	1	1.8e-05	0.000102	0.0
361	10000	1	1.6e-05	0.000102	0.0
362	10000	1	1.7e-05	0.000102	0.0
363	10000	1	1.8e-05	0.000102	0.0
364	10000	1	1.6e-05	0.000102	0.0
365	10000	1	1.7e-05	0.000102	0.0
366	10000	1	1.8e-05	0.000102	0.0
367	10000	1	1.4e-05	0.000102	0.0
368	10000	1	1.3e-05	0.000102	0.0
369	10000	1	1.4e-05	0.000102	0.0
370	10000	1	1.4e-05	0.000102	0.0
371	10000	1	1.3e-05	0.000102	0.0
372	10000	1	1.3e-05	0.000102	0.0
373	10000	1	1.2e-05	0.000102	0.0
374	10000	1	1.1e-05	0.000102	0.0
375	10000	1	1.2e-05	0.000102	0.0
376	10000	1	1.2e-05	0.000102	0.0
377	10000	1	1.1e-05	0.000102	0.0
378	10000	3	1.3e-05	0.000307	0.0
379	10000	3	1.4e-05	0.000307	0.0
380	10000	2	1.2e-05	0.000204	0.0
381	10000	2	1.2e-05	0.000204	0.0
382	10000	3	1.3e-05	0.000307	0.0
383	10000	3	1.2e-05	0.000307	0.0
384	10000	3	1.2e-05	0.000307	0.0
385	10000	3	1e-05	0.000307	0.0
386	10000	3	9e-06	0.000307	0.0
387	10000	3	1e-05	0.000307	0.0
388	10000	3	1e-05	0.000307	0.0
389	10000	3	8e-06	0.000307	0.0
390	10000	3	7e-06	0.000307	0.0
391	10000	1	7e-06	0.000102	0.0
392	10000	1	5e-06	0.000102	0.0
393	10000	1	4e-06	0.000102	0.0
394	10000	1	4e-06	0.000102	0.0
395	10000	1	4e-06	0.000102	0.0
396	10000	1	3e-06	0.000102	0.0
397	10000	1	3e-06	0.000102	0.0
398	10000	1	2e-06	0.000102	0.0
399	10000	2	2e-06	0.000204	0.0
400	10000	2	2e-06	0.000204	0.0
401	10000	2	2e-06	0.000204	0.0
402	10000	2	3e-06	0.000204	0.0
403	10000	2	2e-06	0.000204	0.0
404	10000	2	2e-06	0.000204	0.0
405	10000	2	2e-06	0.000204	0.0
406	10000	2	2e-06	0.000204	0.0
407	10000	3	2e-06	0.000307	0.0
408	10000	3	1e-06	0.000307	0.0
409	10000	2	2e-06	0.000204	0.0
410	10000	1	1e-06	0.000102	0.0
411	10000	2	2e-06	0.000204	0.0
412	10000	2	2e-06	0.000204	0.0
413	10000	2	3e-06	0.000204	0.0
414	10000	3	2e-06	0.000307	0.0
415	10000	3	3e-06	0.000307	0.0
416	10000	3	4e-06	0.000307	0.0
417	10000	2	4e-06	0.000204	0.0
418	10000	2	3e-06	0.000204	0.0
419	10000	2	4e-06	0.000204	0.0
420	10000	4	4e-06	0.000409	0.0
421	10000	4	5e-06	0.000409	0.0
422	10000	4	4e-06	0.000409	0.0
423	10000	4	6e-06	0.000409	0.0
424	10000	3	3e-06	0.000307	0.0
425	10000	3	5e-06	0.000307	0.0
426	10000	4	5e-06	0.000409	0.0
427	10000	4	7e-06	0.000409	0.0
428	10000	4	6e-06	0.000409	0.0
429	10000	4	7e-06	0.000409	0.0
430	10000	3	1e-05	0.000307	0.0
431	10000	3	1.2e-05	0.000307	0.0
432	10000	3	1.2e-05	0.000307	0.0
433	10000	3	1.2e-05	0.000307	0.0
434	10000	3	1.1e-05	0.000307	0.0
435	10000	3	9e-06	0.000307	0.0
436	10000	3	1e-05	0.000307	0.0
437	10000	3	8e-06	0.000307	0.0
438	10000	4	8e-06	0.000409	0.0
439	10000	4	8e-06	0.000409	0.0
440	10000	4	5e-06	0.000409	0.0
441	10000	4	4e-06	0.000409	0.0
442	10000	4	3e-06	0.000409	0.0
443	10000	4	3e-06	0.000409	0.0
444	10000	3	2e-06	0.000307	0.0
445	10000	3	2e-06	0.000307	0.0
446	10000	3	1e-06	0.000307	0.0
447	10000	3	1e-06	0.000307	0.0
448	10000	4	2e-06	0.000409	0.0
449	10000	4	2e-06	0.000409	0.0
450	10000	4	2e-06	0.000409	0.0
451	10000	3	3e-06	0.000307	0.0
452	10000	3	3e-06	0.000307	0.0
453	10000	3	5e-06	0.000307	0.0
454	10000	3	5e-06	0.000307	0.0
455	10000	3	5e-06	0.000307	0.0
456	10000	3	6e-06	0.000307	0.0
457	10000	3	5e-06	0.000307	0.0
458	10000	3	6e-06	0.000307	0.0
459	10000	3	6e-06	0.000307	0.0
460	10000	3	6e-06	0.000307	0.0
461	10000	3	1e-05	0.000307	0.0
462	10000	2	9e-06	0.000204	0.0
463	10000	2	9e-06	0.000204	0.0
464	10000	2	7e-06	0.000204	0.0
465	10000	2	7e-06	0.000204	0.0
466	10000	2	7e-06	0.000204	0.0
467	10000	2	1e-05	0.000204	0.0
468	10000	2	8e-06	0.000204	0.0
469	10000	2	9e-06	0.000204	0.0
470	10000	2	1e-05	0.000204	0.0
471	10000	2	1e-05	0.000204	0.0
472	10000	2	1.3e-05	0.000204	0.0
473	10000	2	1.3e-05	0.000204	0.0
474	10000	2	1.4e-05	0.000204	0.0
475	10000	2	1.2e-05	0.000204	0.0
476	10000	2	1.2e-05	0.000204	0.0
477	10000	2	1e-05	0.000204	0.0
478	10000	3	9e-06	0.000307	0.0
479	10000	2	7e-06	0.000204	0.0
480	10000	2	8e-06	0.000204	0.0
481	10000	2	8e-06	0.000204	0.0
482	10000	2	7e-06	0.000204	0.0
483	10000	2	6e-06	0.000204	0.0
484	10000	2	7e-06	0.000204	0.0
